AgeBin_Adult,AgeBin_Child,AgeBin_MidAge,AgeBin_Senior,AgeBin_Teen,Embarked_C,Embarked_Q,Embarked_S,FamilySize,Fare,IsAlone,PassengerId,Pclass,Survived,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
True,False,False,False,False,False,False,True,2,7.25,0,1,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,71.2833,0,2,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.925,1,3,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,2,53.1,0,4,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,8.05,1,5,3,0,False,False,True,False,False
True,False,False,False,False,False,True,False,1,8.4583,1,6,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,1,51.8625,1,7,1,0,False,False,True,False,False
False,True,False,False,False,False,False,True,5,21.075,0,8,3,0,True,False,False,False,False
True,False,False,False,False,False,False,True,3,11.1333,0,9,3,1,False,False,False,True,False
False,False,False,False,True,True,False,False,2,30.0708,0,10,2,1,False,False,False,True,False
False,True,False,False,False,False,False,True,3,16.7,0,11,3,1,False,True,False,False,False
False,False,True,False,False,False,False,True,1,26.55,1,12,1,1,False,True,False,False,False
False,False,False,False,True,False,False,True,1,8.05,1,13,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,7,31.275,0,14,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,7.8542,1,15,3,0,False,True,False,False,False
False,False,True,False,False,False,False,True,1,16.0,1,16,2,1,False,False,False,True,False
False,True,False,False,False,False,True,False,6,29.125,0,17,3,0,True,False,False,False,False
True,False,False,False,False,False,False,True,1,13.0,1,18,2,1,False,False,True,False,False
True,False,False,False,False,False,False,True,2,18.0,0,19,3,0,False,False,False,True,False
True,False,False,False,False,True,False,False,1,7.225,1,20,3,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,26.0,1,21,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,13.0,1,22,2,1,False,False,True,False,False
False,False,False,False,True,False,True,False,1,8.0292,1,23,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,35.5,1,24,1,1,False,False,True,False,False
False,False,False,False,True,False,False,True,5,21.075,0,25,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,7,31.3875,0,26,3,1,False,False,False,True,False
True,False,False,False,False,True,False,False,1,7.225,1,27,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,6,263.0,0,28,1,0,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.8792,1,29,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,30,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,27.7208,1,31,1,0,False,False,False,False,True
False,False,True,False,False,True,False,False,2,146.5208,0,32,1,1,False,False,False,True,False
False,False,False,False,True,False,True,False,1,7.75,1,33,3,1,False,True,False,False,False
False,False,False,True,False,False,False,True,1,10.5,1,34,2,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,82.1708,0,35,1,0,False,False,True,False,False
